package,sha256
com.ipart.android,35BD743A56A13A5C8071A612863CE44550B7637C660C6FBCDF45F34D747E5564,1218
com.dummy.poker,54E4D86E59C5C7222EA9FD2EF28CAED95D18A0E29DF2CEF67344ABBDEBAC5946,132
com.fungenerationlab.spinner,42F641A19545B500DB400DE10D7D6898537CFB5EBB60F5823830342E96D99131,2104
com.r7games.slotroletinha,71CA56C0A131540AC700259C39CB69D9C3A551325F4957AEE83F734A1116E6E0,10
com.gsn.android.casino,D1F4B523C7E7CF93E4543A5AE7E61D250A167418C479E89411F6A8DC378D20E3,42901019
com.davis.justdating,6D88C5BDA76B196C4BFE807F67FD0F2D831FF5BDD5D860B570B7AD17F4AC426E,214
com.teladoc.members,78B2B41B8D2DDD7185698FD65CF66E8B163B9409D5D05D5B0DF14369C287C30C,903
ru.mobiledimension.kbr,C81B403AECAF068356DD421A4C6240F3C6EDF4B875ED570DF377FE28F80FA528,39674
com.bang.bangwithfriends,DA4BE932C5DD77ED0A64F7F67A02260645B34A950972D3EFDB3AB09494DE53E3,387
com.mw.rouletteroyale,D9C8460555081E8916B2F133A9DC92F59742498A2E4B8A660646CABC2E5C7ED2,426
com.soudfa,36B762148F93FAC926BBA88F2584F0D061AB81ECEE74DED6A77976853757EE2E,210828
com.harmonika,BBC9DBB3F59CC795F505B1BC706BC104623073C489BF0846760769BE459BBF9A,4196909
air.com.yazino.android.slots,A679408B6AB48D0E22B9118CD069FE3639AAAF8DFE816274652FF7CD983D3EB6,7000026
com.evermatch,F0A733A1D8862010901F831C4DB0E7004A066FFEB77B417F0D8C42BC5C19309C,344
com.platogo.pmp,2762B74DEBC551BA5CE505CAC9133329EAF93B76F0439207D543AC462CF549AB,329038
com.bigfishgames.jackpotcityslotsf2pgoogle,7CE288540252C8732FA904A75306A4C0576BF039FD109F24AB15B13236096130,621
com.dating.android,31560B8605302DA09BF1BF16466AED7FF298D1052180549B9BC62F8D0E9508BA,55198
com.touchsurgery,2A6222B7FA3CBB0BD172A28BBDC52C44DBF201E41223B0D0A639A28465CA21CF,60675
com.tongitsgo.play,92C096AB1D313EFF5FAC8A38ACCB577FE96BBDB2A09E97CF5F019CFD6553CB54,4006
com.teenpatti.hd.gold,BFE466DE0F514BED3E34385B0027683D8E289E7D379C3E165B9758784F2DC1A5,73522
emotion.onekm,E2F2884A738BA945B9D413B7031F690A4796A732137F5653436404964B34B4C4,12604
com.viker.scratchattack,59ADEFE7D37742AAE116927852E277241B5E7820DE8222DFECB221412C35305F,66
com.healint.migraineapp,B8B3EE20A6EA16E87B09160CC24E824C99FB8A371E5203409CE1B128CDD77AE9,1631676524
ru.loveplanet.app,F9E7227EB383DDF98CB10396ACCFEDBA51BD29F719D3EDCA469D76C645E154FD,300009932
com.gameeapp.android.app,AD9A6B0785577E9E7BF21DF6328CD12747B177C1D3D99105AC7F817D2155A82B,410151
fr.doctolib.www,401E31ABFC89E284226C283FA6A5897B56E44D8F33D671932D48276F62EDE3DB,302466
arab.chatweb.online,981BB5036D177B69C0EF294DFD8F0E227936C5004A1918BC60AF2D5202962636,75
com.medex.yodawy,8DDB29315365144EFDF00EAF2A45E788EFEF2C30552D39F0716EEF36B9DA94DA,3145951
co.hinge.app,A02A2B6F57673D4833E062756AC033612A62CD0ACC74DF2A95F0021103A5B144,163338068
net.ilius.android.meetic,35B2F440F5A2914246457E7A50037CBFD26219E2E93A443B159EDC6618827912,55902
com.cougardating.olderwomendating,B1A6599FFB7DB8E606B2D4F8944959380F09E0BEF9721E3C48FBB3AB04C4049E,100213
gfxtool.gamebooster.gfx,6DA4D8E2896C905EC538D2599F12BCD3C0D2B4DBDF4F420E95D7D7BEF8D16023,55
com.shocktech.guaguahappy_classic,A88E7BD09A4BD9072FCE86211CE475266668D191EB42684E6FE4B5130D0F8E20,89
com.h5g.high5casino,13D7D26B0E630B435D2459D80646F2AF0C3D6DBBF110FF1F8B90159427D0858F,202110040
com.binops.pharma.pk,00535C963AC35A1BE2A07E95003EB3F8DBEFC72608361330CBB171A35AE682E1,8
air.com.classicslotgalaxy,4ED1ECAF4245AC3E1774823A08BA90AEC2EE2EC6A1CDFB916FA0D069E3D405D4,3007012
com.productmadness.hovmobile,9D97FC1339B0B5A40A01CA0D5789BB4D664C5EF679DCAB7D5BCEF3AD85B18B2A,4038319
com.buzzarab.buzzarab,58B4708122B41488754E9D7210D0BCFC4455989C2541BDF83C9808D54F5437BF,405
ru.fotostrana.sweetmeet,7B31A799C0253E9347FFA56699A588EBB4D13DF765533DDAB9605CAFCE1A7202,910
com.playstudios.myvegas,3D2F28C3F34315087F84BF1BE956CCC206ADC858B4AB9181F2B9B257975FE0B1,63338
com.zynga.hititrich,6BCF847FE96FA5C9D9E4E97D2F70719FB30F7E70BCC6BC7ED5571A777322C49D,191476
com.irihon.katalkcapturer,B34100C969E13770684305CCC5B02F4E4827D24B46F0039E86E9800D22898425,343
com.playstudios.myvegas.blackjack,BC94A6EBA202B6D2E37DB8CF6F030BA7E5AA1A3D2EDAB50D53C52FCED4E94554,3727
com.gamepoint.bingo,7E8802C17F9A808E7FB66965CE989775C4FF32E506BF9A61D28FBBBF2A76DDDA,29954
com.cupidmedia.wrapper.latinamericancupid,1E07E4F16D407C3B58396D9BEE97F67781355EFD82586DEB55CE496D48941CAA,42103407
com.byte3d.poker,DE2B9CE721260E922442E20377DC5EEF0ED7E72819142E21852B51E332B8F015,475
slots.hot.vegas.casino.games.free,D2AB42BEB7E8FF201B21A835EF836F8121A6A90843162135CD5BFB52D1A58E57,319
com.ashleymadison.mobile,2308ACE975E839974F3B91D97A98C8906FC13ECCCCBE5DA131EB6FA217DECE01,703
com.byte3d.teenpatti,4CE9FEEC1B95CDEF8F0815E5B6B7C3AF970C106F6830006AF4CA1242E0DB3B91,477
gsn.game.sam,86DC034F95185A79CCC08B19C38C4BB3C5071A9EC327331AF11FEDA9E5765D84,122
com.elitask.elitask,E86254F201514770ED0950C8D8956F925A1182E520CFF08E3B5D141765CBA2AD,111
com.abzorbagames.roulette,36FA55806A035DC4A1980A9609F98628990DA921DB1A77B494D1632D7BCF223D,347
com.pacificinteractive.HouseOfFun,3AB8FBFE8A4905BD7A3357B278B64378CB4A450FCC099DDB5DEAE3F942517673,1653
